,food_name,protein_val,fat_val,carbs_val,sugar_val,caffeine_val,calcium_val,iron_val,sodium_val,cholesterol_val
0,coke,0.0,0.0,11.0,11.0,0,0,0.0,13,0
3,diet coke,0.0,0.0,0.0,0.0,0,0,0.0,12,0
6,fanta,0.0,0.0,6.9,6.9,0,0,0.0,0,0
9,ginger ale,0.0,0.0,9.86,9.86,0,0,0.0,10,0
12,red bull,0.46,0.0,10.2,10.2,29,6,0.06,39,0
15,red wine,0.04,0.0,0.27,0.0,0,6,0.45,8,0
16,beer,0.46,0.0,3.55,0.0,0,4,0.02,4,0
19,doritos,7.36,27.4,60.8,2.59,0,137,1.16,691,0
22,nutella,7.69,26.9,65.4,44.2,0,77,2.08,250,10
25,cheetos,5.85,36.0,53.5,3.19,0,56,2.53,942,7
28,oreo,3.97,5.66,25.6,21.2,0,129,0.61,75,15
31,chocolate cake,3.03,22.7,57.6,43.9,0,30,1.09,348,30
34,cookies,4.55,22.7,65.9,31.8,0,0,4.09,318,0
37,tiramisu,5.9,24.3,29.6,18.9,44,66,1.11,155,123
40,waffles,2.86,10.0,48.6,7.14,0,86,1.03,529,0
43,baklava,5.62,27.2,38.6,13.1,0,27,1.89,354,47
46,carrot cake,2.5,26.2,50.0,38.8,0,25,1.25,438,50
49,donut,0.0,0.0,0.0,0.0,0,0,0.0,0,0
52,chocolate ice cream,4.55,9.09,24.2,21.2,0,121,0.0,68,38
55,guacamole,3.57,7.14,10.7,3.57,0,0,0.0,268,0
58,vanilla ice cream,5.56,13.3,28.9,28.9,0,111,0.0,94,44
61,dairy milk chocolate,7.69,28.2,59.0,56.4,0,205,0.92,103,26
62,red velvet cake,3.26,17.4,67.4,52.2,0,22,1.17,446,38
65,pie,2.68,12.1,36.9,16.1,0,12,0.67,248,10
68,milk,3.39,2.12,5.08,5.08,0,127,0.0,55,8
71,orange juice,0.67,0.0,11.3,9.33,0,9,0.0,7,0
74,omelette,2.35,0.0,4.71,2.35,0,47,1.27,29,0
77,club sandwich,14.0,12.3,20.2,1.71,0,171,1.23,651,38
80,hotdog,8.89,20.0,4.44,2.22,0,0,0.8,1180,67
83,hummus,7.14,28.6,21.4,3.57,0,71,1.29,464,0
86,hamburger,9.3,4.65,46.5,4.65,0,93,2.51,488,0
89,pancakes,6.45,2.42,53.2,14.5,0,97,0.0,382,52
92,granola,14.3,28.6,46.4,17.9,0,71,3.86,89,0
95,oats,12.5,6.25,67.5,2.5,0,0,4.5,0,0
98,cereals,6.01,2.93,86.6,31.5,0,11,8.44,553,0
101,poha,1.9,0.7,11.2,0.0,0,9,1.0,0,0
104,falafel,8.24,41.2,29.0,4.52,0,86,2.26,499,0
107,dumpling,5.63,4.23,16.9,4.23,0,14,2.82,317,21
110,pasta,12.5,1.79,78.6,3.57,0,0,3.21,0,0
113,noodle,3.2,5.3,19.0,1.5,0,0,0.0,0,0
116,burrito,9.41,4.12,32.9,1.18,0,59,2.12,424,18
119,salad,2.63,4.61,27.0,17.1,0,66,0.95,178,0
122,roti,7.85,9.2,46.1,2.93,0,36,2.2,298,0
125,burger,0.0,0.0,23.5,11.8,0,0,0.0,3180,0
128,pizza,10.7,10.0,27.9,2.86,0,43,2.19,407,21
131,calamari,16.0,1.5,3.0,0.0,0,20,0.77,45,263
134,idli,12.0,2.0,72.0,0.0,0,0,0.0,1520,0
136,dosa,5.46,4.27,30.8,1.1,0,17,1.87,330,0
139,salmon,19.5,3.54,0.0,0.0,0,18,0.32,66,53
142,shrimp,11.8,0.0,0.0,0.0,0,71,0.42,494,112
145,lasagna,8.24,7.94,17.1,1.76,0,176,1.32,306,32
148,drumsticks,9.58,44.2,0.79,0.0,0,6,0.37,51,105
151,french fries,2.38,8.33,22.6,1.19,0,0,0.43,48,0
154,samosa,11.8,7.06,9.41,2.35,0,24,1.27,553,41
157,steak,0.0,0.0,111.0,0.0,0,0,0.0,0,0
160,kebab,24.0,14.0,6.0,0.0,0,60,1.8,740,0
163,sushi,2.92,0.67,18.4,2.13,0,6,0.22,428,4
166,scallops,15.2,0.89,2.68,0.0,0,23,0.32,161,31
169,lobster,11.6,20.1,4.14,2.41,0,111,0.39,476,171
172,crab,22.8,1.23,0.0,0.0,0,88,0.95,374,105
175,ramen,12.7,2.73,63.6,5.45,0,36,4.91,1360,0
178,pad thai,4.46,3.72,25.3,0.0,0,33,1.45,283,0
181,red thai curry,0.0,9.38,15.6,9.38,0,0,0.0,1380,0
184,sub sandwich,8.45,2.82,53.5,4.23,0,11,2.96,577,0
187,chicken tikka masala,7.75,4.93,29.6,1.41,0,14,0.76,239,11
190,mussels,14.1,2.35,0.0,0.0,0,47,4.71,235,47
193,oyster,4.96,10.8,18.4,2.62,0,96,2.44,510,10
196,meatballs,15.6,17.7,4.17,1.04,0,104,1.5,771,83
199,sashimi,19.7,0.34,4.08,0.0,0,0,0.68,252,0
202,rice,3.47,2.43,26.4,1.39,0,28,1.88,465,0
205,lentils,25.0,0.0,59.4,0.0,0,0,8.44,16,0
208,chana masala,3.71,4.57,22.0,3.71,0,29,1.54,317,3
211,chicken biryani,6.01,4.59,24.7,1.41,0,21,0.51,180,14
214,lamb biryani,7.75,9.15,16.2,2.11,0,28,1.9,338,18
215,banana,12.5,6.25,40.6,6.25,0,125,1.12,594,0
218,apple,0.0,0.65,14.3,10.4,0,0,0.23,0,0
221,grapes,0.0,0.0,17.5,15.8,0,18,0.35,0,0
224,strawberry,0.71,5.67,13.5,9.22,0,0,0.26,11,0
227,oranges,0.65,0.15,12.3,8.44,0,45,0.12,1,0
230,pineapple,0.0,0.0,78.6,64.3,0,36,0.64,18,0
233,watermelon,0.78,0.25,7.45,6.27,0,0,0.0,0,0
236,blackberries,1.47,0.37,15.4,11.0,0,29,0.81,0,0
239,raspberries,1.43,0.0,12.1,4.29,0,29,0.77,0,0
242,papaya,2.5,0.0,65.0,40.0,0,150,0.0,18,0
245,mango,0.0,0.0,85.0,67.5,0,50,0.0,138,0
248,avocado,1.9,43.3,7.36,6.67,0,34,0.35,867,40
251,cherries,0.0,0.0,40.0,40.0,0,0,0.0,0,0
254,dragon fruit,3.57,0.0,82.1,82.1,0,107,0.0,39,0
257,kiwi,0.0,0.0,86.7,66.7,0,67,1.2,140,0
